,0
num__mmr,0.9771817548638589
num__condition,0.012117196675688563
num__odometer,0.004990918614263905
num__vehicle_age,0.0010217117375018344
num__year,0.0009390600014649551
cat__state_ca,0.00040495756911458755
cat__body_suv,0.00030483382894942534
cat__body_sedan,0.0002875712345138472
cat__make_ford,0.00027630650880715204
cat__state_tx,0.00017927966248029105
cat__state_fl,0.00017911134285903573
cat__make_nissan,0.00013169765953827776
cat__make_chevrolet,0.00012590173055861074
cat__body_crew cab,0.00011810105811737903
cat__state_mi,0.0001040403558480642
